Rivet 3.1.1 running on machine aligentest.cern.ch (x86_64) at 2022-04-15 14:17:07
Reading events from '/tmp/p8R3.fifo'
Event 50200 (0:09:52 elapsed)
Event 50300 (0:09:54 elapsed)
Event 50400 (0:09:55 elapsed)
Event 50500 (0:09:56 elapsed)
Event 50600 (0:09:57 elapsed)
Event 50700 (0:09:58 elapsed)
Event 50800 (0:09:59 elapsed)
Event 50900 (0:10:00 elapsed)
Event 51000 (0:10:02 elapsed)
Event 51100 (0:10:03 elapsed)
Event 51200 (0:10:03 elapsed)
Event 51300 (0:10:04 elapsed)
Event 51400 (0:10:05 elapsed)
Event 51500 (0:10:07 elapsed)
Event 51600 (0:10:08 elapsed)
Event 51700 (0:10:09 elapsed)
Event 51800 (0:10:10 elapsed)
Event 51900 (0:10:11 elapsed)
Event 52000 (0:10:12 elapsed)
Event 52100 (0:10:13 elapsed)
Event 52200 (0:10:14 elapsed)
Event 52300 (0:10:16 elapsed)
Event 52400 (0:10:17 elapsed)
Event 52500 (0:10:18 elapsed)
Event 52600 (0:10:19 elapsed)
Event 52700 (0:10:20 elapsed)
Event 52800 (0:10:21 elapsed)
Event 52900 (0:10:22 elapsed)
Event 53000 (0:10:23 elapsed)
Event 53100 (0:10:24 elapsed)
Event 53200 (0:10:25 elapsed)
Event 53300 (0:10:26 elapsed)
Event 53400 (0:10:27 elapsed)
Event 53500 (0:10:28 elapsed)
Event 53600 (0:10:29 elapsed)
Event 53700 (0:10:30 elapsed)
Event 53800 (0:10:32 elapsed)
Event 53900 (0:10:33 elapsed)
Event 54000 (0:10:34 elapsed)
Event 54100 (0:10:35 elapsed)
Event 54200 (0:10:36 elapsed)
Event 54300 (0:10:37 elapsed)
Event 54400 (0:10:38 elapsed)
Event 54500 (0:10:39 elapsed)
Event 54600 (0:10:40 elapsed)
Event 54700 (0:10:41 elapsed)
Event 54800 (0:10:42 elapsed)
Event 54900 (0:10:43 elapsed)
Event 55000 (0:10:44 elapsed)
Event 55100 (0:10:46 elapsed)
Event 55200 (0:10:47 elapsed)
Event 55300 (0:10:48 elapsed)
Event 55400 (0:10:49 elapsed)
Event 55500 (0:10:50 elapsed)
Event 55600 (0:10:51 elapsed)
Event 55700 (0:10:52 elapsed)
Event 55800 (0:10:53 elapsed)
Event 55900 (0:10:54 elapsed)
Event 56000 (0:10:55 elapsed)
Event 56100 (0:10:56 elapsed)
Event 56200 (0:10:57 elapsed)
Event 56300 (0:10:58 elapsed)
Event 56400 (0:10:59 elapsed)
Event 56500 (0:11:01 elapsed)
Event 56600 (0:11:02 elapsed)
Event 56700 (0:11:03 elapsed)
Event 56800 (0:11:04 elapsed)
Event 56900 (0:11:05 elapsed)
Event 57000 (0:11:06 elapsed)
Event 57100 (0:11:08 elapsed)
Event 57200 (0:11:08 elapsed)
Event 57300 (0:11:09 elapsed)
Event 57400 (0:11:11 elapsed)
Event 57500 (0:11:11 elapsed)
Event 57600 (0:11:13 elapsed)
Event 57700 (0:11:14 elapsed)
Event 57800 (0:11:15 elapsed)
Event 57900 (0:11:16 elapsed)
Event 58000 (0:11:17 elapsed)
Event 58100 (0:11:18 elapsed)
Event 58200 (0:11:19 elapsed)
Event 58300 (0:11:20 elapsed)
Event 58400 (0:11:21 elapsed)
Event 58500 (0:11:22 elapsed)
